Accession,Protein Name,Length,Organism Scientific Neme
A0A0K3CSS5,DNA repair and recombination protein RAD52,661,Rhodosporidium toruloides
A0A6A6J5A9,RAD52 DNA repair protein RADC,663,Westerdykella ornata
A0A0L0HHR8,DNA repair and recombination protein RAD52,573,Spizellomyces punctatus (strain DAOM BR117)
E3KUP1,DNA repair and recombination protein RAD52,569,Puccinia graminis f. sp. tritici (strain CRL 75-36-700-3 / race SCCL)
A0A507EP14,DNA repair and recombination protein RAD52,575,Spizellomyces sp. 'palustris'
A0A0C3CRM1,DNA repair and recombination protein RAD52,653,Hebeloma cylindrosporum h7
A0A0L0HIH5,DNA repair and recombination protein RAD52,579,Spizellomyces punctatus (strain DAOM BR117)
A0A162MQW4,RAD52 DNA repair protein RADC,634,Sporothrix insectorum RCEF 264
A0A5C3EXV9,DNA repair and recombination protein RAD52,764,Pseudozyma flocculosa
C5FF25,RAD52 DNA repair protein RADC,567,Arthroderma otae (strain ATCC MYA-4605 / CBS 113480)
A0A364MZJ3,RAD52 DNA repair protein RADC,581,Stemphylium lycopersici
A0A512U9I2,DRBM domain-containing protein,177,Metschnikowia sp. JCM 33374
D4D8V7,RAD52 DNA repair protein RADC,544,Trichophyton verrucosum (strain HKI 0517)
A0A4C1WK16,DNA repair protein RAD52 homolog,459,Eumeta variegata
A0A2V8UNM9,DUF4136 domain-containing protein,93,Acidobacteria bacterium
A0A0C2F6U7,RAD52 DNA repair protein RADC,626,Sporothrix brasiliensis 5110
A0A1C7LV21,DNA repair and recombination protein RAD52,667,Grifola frondosa
A0A447C337,RAD52 DNA repair protein RADC,687,Podospora comata
D4AZJ0,RAD52 DNA repair protein RADC,544,Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371)
S3EF47,RAD52 DNA repair protein RADC,730,Glarea lozoyensis (strain ATCC 20868 / MF5171)
A0A2J8LJJ2,Rad60-SLD_2 domain-containing protein,79,Pan troglodytes
C0NIR2,DNA repair and recombination protein RAD52,580,Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432)
A0A1B9GWN4,DNA repair and recombination protein RAD52,632,Kwoniella heveanensis BCC8398
J4H3H2,DNA repair and recombination protein RAD52,593,Fibroporia radiculosa
A0A4Y9YKI2,DNA repair and recombination protein rhm52,621,Rhodofomes roseus
A0A6I9J2N5,RAD52 motif-containing protein 1,467,Chrysochloris asiatica
A0A0C3CP85,DNA repair and recombination protein RAD52,636,Piloderma croceum (strain F 1598)
A0A427YJ70,DNA repair and recombination protein RAD52,641,Saitozyma podzolica
A0A0F2M668,DNA repair and recombination protein RAD52,643,Sporothrix schenckii 1099-18
A0A2N8UJD1,Related to RAD52-recombination and DNA repair protein,713,Sporisorium reilianum f. sp. reilianum
A0A5E8BSJ0,DNA repair and recombination protein RAD52,645,Saprochaete ingens
A0A395IZR6,RAD52 DNA repair protein RADC,474,Monilinia fructigena
A0A015JI98,DNA repair and recombination protein RAD52,420,Rhizophagus irregularis (strain DAOM 197198w)
A0A1B9H677,DNA repair and recombination protein RAD52,632,Kwoniella heveanensis CBS 569
A0A4R0RXX5,DNA repair and recombination protein RAD52,643,Steccherinum ochraceum
A0A662YW69,DNA repair protein RAD52 homolog,642,Acipenser ruthenus
A0A2S5BG75,RAD52 DNA repair protein RADC,666,Rhodotorula taiwanensis
A0A4Q4V865,RAD52 DNA repair protein RADC,854,Monosporascus sp. MG133
A0A0D0BK22,DNA repair and recombination protein RAD52,621,Suillus luteus UH-Slu-Lm8-n1
A0A1J8QH36,RAD52 DNA repair protein RADC,614,Rhizopogon vesiculosus
A0A409X7F7,DNA repair and recombination protein RAD52,692,Psilocybe cyanescens
A0A127ZHG4,DNA repair and recombination protein RAD52,733,Sporisorium scitamineum
A0A0C9USF7,DNA repair and recombination protein RAD52,633,Sphaerobolus stellatus (strain SS14)
E6ZQA0,DNA repair and recombination protein RAD52,734,Sporisorium reilianum (strain SRZ2)
A0A0D1BZJ4,Related to RAD52-recombination and DNA repair protein,722,Ustilago maydis (strain 521 / FGSC 9021)
E7C1W1,RRM domain-containing protein,196,uncultured gamma proteobacterium HF0010_26J14
A0A068RHU6,RRM domain-containing protein,359,Lichtheimia corymbifera JMRC:FSU:9682
A0A4U7KYP4,DNA repair and recombination protein RAD52,736,Sporisorium graminicola
A0A409YPA3,DNA repair and recombination protein RAD52,683,Gymnopilus dilepis
A0A015L9J9,DNA repair and recombination protein RAD52,513,Rhizophagus irregularis (strain DAOM 197198w)
A0A0W0GAZ3,DNA repair and recombination protein rhm52,646,Moniliophthora roreri
A0A2I1FXK4,DNA repair and recombination protein RAD52,513,Rhizophagus irregularis
A0A5C3E0I2,DNA repair and recombination protein RAD52,752,Ustilago trichophora
A0A1V9YMQ1,DNA repair and recombination protein RAD52,458,Achlya hypogyna
A0A2H3J913,DNA repair and recombination protein rhm52,657,Wolfiporia cocos (strain MD-104)
A0A2I1E0N6,DNA repair and recombination protein RAD52,513,Rhizophagus irregularis
A0A1S8VQG8,DNA repair and recombination protein RAD52,613,Batrachochytrium salamandrivorans
A0A068SDF2,HNHc domain-containing protein,389,Lichtheimia corymbifera JMRC:FSU:9682
A0A401H2X9,DNA repair and recombination protein RAD52,596,Sparassis crispa
A0A369KDD5,DNA repair and recombination protein RAD52,660,Hypsizygus marmoreus
I2FTA8,Related to RAD52-recombination and DNA repair protein,722,Ustilago hordei (strain Uh4875-4)
A0A0C3PYG1,DNA repair and recombination protein RAD52,602,Pisolithus tinctorius Marx 270
A0A058Z6U4,DNA repair and recombination protein RAD52,652,Fonticula alba
A0A0D0DVD4,DNA repair and recombination protein RAD52,649,Paxillus rubicundulus Ve08.2h10
A0A5C3LJD7,Recombination protein Rad52,689,Crucibulum laeve
A0A1K0GCL8,DNA repair and recombination protein RAD52,718,Ustilago bromivora
F8NGX4,DNA repair and recombination protein RAD52,635,Serpula lacrymans var. lacrymans (strain S7.9)
A0A3B4GLX7,RRM domain-containing protein,334,Pundamilia nyererei
A0A5C3E0G9,Related to RAD52-recombination and DNA repair protein,780,Ustilago trichophora
V2YA23,DNA repair and recombination protein rhm52,672,Moniliophthora roreri (strain MCA 2997)
A0A6U9YHS5,DNA repair and recombination protein RAD59,652,Pseudo-nitzschia australis
A0A3M7IHN7,RAD52 DNA repair protein RADC,783,Hortaea werneckii
F9XR82,Uncharacterized protein,398,Zymoseptoria tritici (strain CBS 115943 / IPO323)
A0A0E9NHZ6,RAD52 DNA repair protein RADC,685,Saitoella complicata (strain BCRC 22490 / CBS 7301 / JCM 7358 / NBRC 10748 / NRRL Y-17804)
M5C0I2,Rad21_Rec8 domain-containing protein,328,Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14)
A0A317XNH2,Recombination protein Rad52,766,Testicularia cyperi
A0A4U0VMZ5,RAD52 DNA repair protein RADC,710,Rhodotorula sp. CCFEE 5036
A0A4Z1NN93,RAD52 DNA repair protein RADC,806,Venturia nashicola
A0A433PD09,DNA repair and recombination protein RAD52,650,Endogone sp. FLAS-F59071
B8LCY5,DNA repair and recombination protein RAD52,460,Thalassiosira pseudonana
A0A292PPX8,Damage-regulated import facilitator 1,586,Tuber aestivum
A0A3B4GNW3,RRM domain-containing protein,324,Pundamilia nyererei
A0A7F8R0D6,"RAD52 homolog, DNA repair protein",441,Leptonychotes weddellii
A0A4X1TQJ9,RRM domain-containing protein,356,Sus scrofa
A0A2U3EKS8,Tethering factor for nuclear proteasome STS1,1206,Purpureocillium lilacinum
F0U598,DNA repair and recombination protein RAD52,567,Ajellomyces capsulatus (strain H88)
A0A212CDA9,DNA repair protein RAD52 homolog,398,Cervus elaphus hippelaphus
A0A0E1RYP7,DDE-1 domain-containing protein,864,Coccidioides immitis (strain RS)
A0A0J6YML5,DNA repair protein RAD52,460,Coccidioides immitis RMSCC 2394
A0A0F7SFU5,RAD52 DNA repair protein RADC,663,Phaffia rhodozyma
A0A507BZE2,DNA repair and recombination protein RAD52,705,Synchytrium microbalum
R9P387,RAD52 DNA repair protein RADC,1120,Pseudozyma hubeiensis (strain SY62)
A0A2J8RCM7,RDM domain-containing protein,79,Pongo abelii
A0A1R1Y196,DNA repair and recombination protein RAD52,442,Smittium culicis
A0A2R5H052,Lipase_3 domain-containing protein,1115,Hondaea fermentalgiana
A0A6J3BAR3,Rad60-SLD_2 domain-containing protein,102,Vicugna pacos
A0A433DIV1,DNA repair and recombination protein RAD52,717,Jimgerdemannia flammicorona
A0A0P1BL95,RAD52 DNA repair protein RADC,830,Ceraceosorus bombacis
A0A177TMC0,Uncharacterized protein,819,Tilletia indica
A0A1R1XR39,DNA repair and recombination protein RAD52,440,Smittium culicis
A0A0J8QIQ5,DNA repair and recombination protein RAD52,480,Coccidioides immitis RMSCC 3703
A0A6J1RFW6,BRCA2 DNA repair associated,1263,Temnothorax curvispinosus
A0A2R6NIG3,BHLH domain-containing protein,585,Hermanssonia centrifuga
A0A177VBV8,Uncharacterized protein,838,Tilletia caries
A0A673Y5F0,RHD domain-containing protein,187,Salmo trutta
A0A1E3PJ17,DNA repair and recombination protein RAD52,773,Nadsonia fulvescens var. elongata DSM 6958
L8ID57,RAD52 motif-containing protein 1,343,Bos mutus
A0A1R0H588,DNA repair and recombination protein RAD52,452,Smittium mucronatum
A0A286UB38,DNA repair and recombination protein RAD52,597,Pyrrhoderma noxium
A0A0D0UXQ9,DNA repair and recombination protein RAD52,519,Cryptococcus gattii VGII Ram5
A0A2V5I3C8,RWD domain-containing protein,184,Aspergillus violaceofuscus (strain CBS 115571)
A0A433PSW1,CwfJ C-terminus 1-domain-containing protein-like protein,668,Endogone sp. FLAS-F59071
A0A5A8C322,Rad60-SLD domain-containing protein,238,Cafeteria roenbergensis
A0A1E3PR27,DRBM domain-containing protein,560,Nadsonia fulvescens var. elongata DSM 6958
A0A6P6ENW1,RAD52 motif-containing protein 1,232,Octodon degus
A0A091CQH8,RAD52 motif-containing protein 1,147,Fukomys damarensis
A0A177T3X4,Uncharacterized protein,187,Tilletia indica
A0A3S0KL54,Mediator of RNA polymerase II transcription subunit 6,422,Rhodocyclaceae bacterium
A0A6J3B4H5,RAD52 motif-containing protein 1,142,Vicugna pacos
A0A5N4D121,RAD52 motif-containing protein 1,156,Camelus dromedarius
A0A5N4D125,RAD52 motif-containing protein 1,174,Camelus dromedarius
A0A5N4D122,RAD52 motif-containing protein 1,152,Camelus dromedarius
A0A5N4D280,RAD52 motif-containing protein 1,167,Camelus dromedarius
A0A6V7KZ49,"6,7-dimethyl-8-ribityllumazine synthase",49,Bracon brevicornis
A0A496LJQ7,DNA repair protein Rad52,116,Campylobacter sp.
A0A850FQ75,DNA repair protein Rad52,131,Aliarcobacter butzleri
A0A850FVQ8,DNA repair protein Rad52,131,Aliarcobacter butzleri
A0A1A8FXW4,RAD52,93,Nothobranchius korthausae
A0A5T2Q0E1,Recombinase,83,Salmonella enterica
A0A5T2Q2G7,Recombinase,83,Salmonella enterica
Q9UHE1,DNA repair protein RAD52,76,Homo sapiens
F4NYL9,Rad52/22 double-strand break repair protein,148,Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211)
A0A4S1FPQ2,Recombinase,79,bacterium M00.F.Ca.ET.168.01.1.1
A0A7V3H4D7,DUF3850 domain-containing protein,72,candidate division NC10 bacterium
A0A0F9A8F5,N-acetylmuramoyl-L-alanine amidase,141,marine sediment metagenome
A0A7C6XLJ7,Single-stranded DNA-binding protein,140,Brevibacterium sp.
A0A760BWA8,Recombinase,91,Salmonella enterica
A0A0C3A704,Rad52/22 double-strand break repair protein,165,Serendipita vermifera MAFF 305830
A0A1Y2IAU5,Recombination protein Rad52,159,Trametes coccinea BRFM310
A0A5V9IZH6,Recombinase,64,Salmonella hadar
A0A5T8QA77,Recombinase,79,Salmonella enterica
A0A367JK23,DNA repair protein Rad52,133,Rhizopus stolonifer
A0A3V7DK30,Recombinase,79,Salmonella enterica subsp. enterica serovar Cerro
A0A316Z7A3,Rad52/22 double-strand break repair protein,144,Tilletiopsis washingtonensis
A0A608ZIR4,Recombinase,79,Salmonella enterica
B0DBH1,Rad52/22 double-strand break repair protein,139,Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686)
A0A0G9JWF7,DNA repair protein,132,Aliarcobacter butzleri L348
A0A3V4PAG1,Recombinase,79,Salmonella enterica subsp. enterica serovar Cerro
I4YJX7,Pectinesterase,137,Wallemia mellicola (strain ATCC MYA-4683 / CBS 633.66)
A0A0C9XVT0,Rad52/22 double-strand break repair protein,139,Laccaria amethystina LaAM-08-1
M2QTS8,Rad52/22 double-strand break repair protein,156,Ceriporiopsis subvermispora (strain B)
A0A612C842,Recombinase,93,Salmonella montevideo
A0A836TUK9,KilA-N domain-containing protein,61,Sneathiellales bacterium
A0A5C3MUY4,Rad52/22 double-strand break repair protein,161,Heliocybe sulcata
A0A763GNU4,Recombinase,93,Salmonella enterica
A0A316U5N6,Rad52/22 double-strand break repair protein,143,Pseudomicrostroma glucosiphilum
A0A316UNR2,Rad52/22 double-strand break repair protein,141,Jaminaea rosea
A0A4Y7PV61,Rad52/22 double-strand break repair protein,162,Rickenella mellea
A0A7Z9G9T2,YcaO domain-containing protein,156,Myxococcales bacterium
X0W4X9,DNA repair protein RAD59,133,marine sediment metagenome
A0A3U8QCY1,Recombinase,147,Salmonella infantis
A0A3M2EYI2,DNA repair protein Rad52,85,Bacteroidetes bacterium
B3S3R0,RAD52,160,Trichoplax adhaerens
A0A372QVA5,Rad52/22 double-strand break repair protein,147,Rhizophagus sp. MUCL 43196
A0A0U2TIN9,DNA repair protein RAD52 homolog,112,Acartia pacifica
A0A730FCC3,Recombinase,152,Salmonella enterica subsp. enterica serovar Rough O:-:-
A0A4V3SIK6,Rad52/22 double-strand break repair protein,159,Ascodesmis nigricans
X0W1A5,Phage protein,126,marine sediment metagenome
V4B8U7,RAD52-like protein,159,Lottia gigantea
A0A0F9M501,Bacteriophage protein,95,marine sediment metagenome
A0A6L7WIW9,DNA topoisomerase III,63,Acidobacteria bacterium
A0A524HH11,MuF_C domain-containing protein,149,Gemmatimonadales bacterium
A0A4Q9LHI7,RAD52,177,Hamiltosporidium magnivora
A0A5W5VAV5,Recombinase,135,Salmonella enterica subsp. enterica serovar Cubana
A0A5J5EW13,Rad52/22 double-strand break repair protein,151,Sphaerosporella brunnea
A0A0C3B007,Rad52/22 double-strand break repair protein,170,Scleroderma citrinum Foug A
A0A2E2D450,DNA repair protein Rad52,139,Methylophaga sp.
A0A354UBD9,Recombinase,148,Lentisphaeria bacterium
D8QED5,Rad52/22 double-strand break repair protein,137,Schizophyllum commune (strain H4-8 / FGSC 9210)
A0A166WH72,Rad52/22 double-strand break repair protein,172,Fibularhizoctonia sp. CBS 109695
A0A1F6D5K4,Tyr recombinase domain-containing protein,304,Handelsmanbacteria sp. (strain RIFCSPLOWO2_12_FULL_64_10)
V6LWW6,DNA repair protein RAD52,151,Spironucleus salmonicida
A0A0F8Y1E1,Recombinase,160,marine sediment metagenome
A0A7C9K2H7,Recombinase,291,Agarivorans sp. B2Z047
A0A7W1KXK9,"DNA repair RAD52-like protein 1, mitochondrial",78,Acidobacteria bacterium
A0A7X4DXY6,DNA-3-methyladenine glycosylase 2 family protein,65,Dehalococcoidia bacterium
A0A162PIM8,Rad52/22 double-strand break repair protein,133,Phycomyces blakesleeanus (strain ATCC 8743b / DSM 1359 / FGSC 10004 / NBRC 33097 / NRRL 1555)
A0A763CE55,Recombinase,132,Salmonella enterica
A0A7X2GVR7,Recombinase,66,Lactococcus lactis subsp. cremoris
A0A1B7SDI5,Rad52/22 double-strand break repair protein,171,Ogataea polymorpha
A0A2T2N1F4,DNA repair protein Rad52,96,Corynespora cassiicola Philippines
Q1WBR9,Rad52/22 double-strand break repair protein,90,Acanthamoeba castellanii
A0A0F9EX83,DUF5598 domain-containing protein,68,marine sediment metagenome
A0A7C9KHF1,Transposase,58,Agarivorans sp. B2Z047
A0A726NTA5,Recombinase,181,Salmonella enterica subsp. enterica serovar Mbandaka
A0A4P9X8J1,DNA repair protein Rad52,169,Caulochytrium protostelioides
A0A2J8S3T9,RAD52,129,Pongo abelii
A0A2J8KMJ8,RAD52,129,Pan troglodytes
F5GX95,RAD52,129,Homo sapiens
A0A431K7E3,Recombinase RecT,218,Rhodocyclaceae bacterium
A0A6C8LKS4,Recombinase,180,Salmonella enterica subsp. enterica serovar Lubbock
T0VR84,Recombinase,150,Lactococcus lactis subsp. cremoris TIFN1
A0A535Y815,PDZ domain-containing protein,119,Chloroflexi bacterium
A0A725S855,Recombinase,210,Salmonella enterica subsp. enterica serovar Ohio
A0A726SUW8,Recombinase,181,Salmonella enterica subsp. enterica serovar Mbandaka
A0A7S4LA49,DRBM domain-containing protein,130,Eutreptiella gymnastica
A0A604Q717,Recombinase,182,Salmonella infantis
A0A725S6R0,Recombinase,210,Salmonella enterica subsp. enterica serovar Ohio
A0A704DH03,Recombinase,202,Salmonella infantis
A0A5X8L060,Recombinase,199,Salmonella infantis
A0A430R370,Rad52/22 double-strand break repair protein,76,Thermus scotoductus
A0A430R3M2,Rad52/22 double-strand break repair protein,81,Thermus scotoductus
A0A7L0H2C3,RAD52 motif-containing protein 1,217,Herpetotheres cachinnans
A0A6J1W2C0,RAD52,89,Notechis scutatus
A0A4V1IXN3,Rad52/22 double-strand break repair protein,108,Piptocephalis cylindrospora
A0A7S2URT4,Rad52/22 double-strand break repair protein,185,Attheya septentrionalis
A0A4P9WZK5,DNA repair protein Rad52,181,Caulochytrium protostelioides
A0A3D4LYC3,Rad52/22 double-strand break repair protein,199,Erythrobacter sp.
A0A533RUD0,SWIM-type domain-containing protein,274,bacterium
A0A7L3GUD9,RRM domain-containing protein,189,Anhinga rufa
A0A1A0HC14,DsRNA-binding domain-like protein,157,Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993
A0A382SQJ4,DNA repair protein Rad52,185,marine metagenome
A0A1E4TFN8,Rad52/22 double-strand break repair protein,101,Tortispora caseinolytica NRRL Y-17796
A0A3C0F5U3,Recombinase,154,Xanthomarina gelatinilytica
A0A6G3WN46,DNA repair protein Rad52,210,Streptomyces sp. SID7499
A0A7L1LB19,RAD52 motif-containing protein 1,248,Himantopus himantopus
A0A7L3L4K2,RRM domain-containing protein,249,Turnix velox
A0A851D8L2,RAD52 motif-containing protein 1,186,Todus mexicanus
A0A852LFN1,RRM domain-containing protein,248,Urocolius indicus
C3ZUB7,DNA repair and recombination protein RAD52,235,Branchiostoma floridae
A0A7K5I748,RAD52 motif-containing protein 1,248,Crotophaga sulcirostris
A0A1G3UVQ0,DNA repair protein Rad52,223,Sulfurimonas sp. RIFOXYD2_FULL_37_8
A0A7K9HZL2,RRM domain-containing protein,248,Bucco capensis
A0A550CBP6,Rad52/22 double-strand break repair protein,178,Auriculariopsis ampla
A0A7K7F6R6,RRM domain-containing protein,242,Chionis minor
A0A7K9DQC9,RAD52 motif-containing protein 1,220,Hemiprocne comata
A0A7S3V5J6,DNA repair protein RAD59,200,Chaetoceros debilis
A0A7S0IY66,Rad52/22 double-strand break repair protein,129,Calcidiscus leptoporus
A0A7L0D629,RRM domain-containing protein,248,Rostratula benghalensis
A0A7L4BIK7,RAD52 motif-containing protein 1,248,Phaetusa simplex
T0YVR9,Rad52/22 double-strand break repair protein,205,mine drainage metagenome
A0A7L3RJ72,RAD52 motif-containing protein 1,248,Cepphus grylle
A0A850XIM7,RRM domain-containing protein,248,Piaya cayana
A0A1Y2G4J1,RAD52,208,Leucosporidium creatinivorum
A0A7L1HIQ9,RRM domain-containing protein,248,Nycticryphes semicollaris
A0A7K7VRA0,RAD52 motif-containing protein 1,249,Eudromia elegans
A0A7L1G4Q0,RRM domain-containing protein,251,Indicator maculatus
U6D6X9,"RAD52 homolog, DNA repair protein",196,Neovison vison
A0A7K4J4C0,RRM domain-containing protein,248,Geococcyx californianus
A0A7K8SV59,RRM domain-containing protein,220,Nyctibius bracteatus
A0A7L0FFR8,RRM domain-containing protein,248,Corythaixoides concolor
A0A5U4ZKY3,Recombinase,153,Salmonella enterica
A0A7L4FQ41,RRM domain-containing protein,248,Alopecoenas beccarii
A0A852J759,RAD52 motif-containing protein 1,190,Tricholaema leucomelas
A0A7K7NIA3,RRM domain-containing protein,248,Haliaeetus albicilla
A0A7L4A4S3,RRM domain-containing protein,248,Circaetus pectoralis
A0A7L3XZT7,RRM domain-containing protein,248,Calonectris borealis
A0A7K7A969,RRM domain-containing protein,249,Nothoprocta pentlandii
A0A7S0Q2P1,Rad52/22 double-strand break repair protein,191,Coccolithus braarudii
A0A851TGR4,RRM domain-containing protein,249,Nothocercus nigrocapillus
A0A7K4K3A9,RRM domain-containing protein,249,Crypturellus soui
A0A7L3C5D0,RRM domain-containing protein,220,Pelecanoides urinatrix
R0L2A2,RRM domain-containing protein,220,Anas platyrhynchos
A0A093I606,RRM domain-containing protein,221,Struthio camelus australis
A0A353ZRI3,LPD29 domain-containing protein,176,Arthrobacter sp.
A0A7K7BI04,RRM domain-containing protein,249,Nothoprocta ornata
A0A7Y5XVM5,DNA repair protein Rad52,230,Thermoleophilia bacterium
A0A0F9EYG1,DNA repair protein RAD59,185,marine sediment metagenome
A0A093F138,RRM domain-containing protein,220,Gavia stellata
T0ZTX5,Rad52/22 double-strand break repair protein,239,mine drainage metagenome
A0A091M4J2,RRM domain-containing protein,220,Cariama cristata
A0A723FW02,Recombinase,184,Salmonella enterica
A0A7K4LRN3,RRM domain-containing protein,249,Crypturellus undulatus
A0A1B7TCL3,RAD52-like protein,196,Hanseniaspora valbyensis NRRL Y-1626
A0A7K5YVQ9,RAD52 motif-containing protein 1,220,Pterocles burchelli
A0A7K8XF13,RAD52 motif-containing protein 1,228,Eubucco bourcierii
A0A7L3FTN4,RRM domain-containing protein,161,Zapornia atra
A0A7K7WRE5,RRM domain-containing protein,249,Nothocercus julius
A0A723KBK0,Recombinase,184,Salmonella enterica
A0A091JL36,RRM domain-containing protein,225,Egretta garzetta
A3GF57,RAD52 motif-containing protein 1,181,Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)
A0A059EJZ4,RAD52,131,Anncaliia algerae PRA109
A0A852M9R5,RRM domain-containing protein,225,Centropus bengalensis
A0A6A6PBY2,RAD52 DNA repair protein RADC,224,Lineolata rhizophorae
A0A7K6AE09,RRM domain-containing protein,254,Onychorhynchus coronatus
A0A7K9E749,RRM domain-containing protein,248,Baryphthengus martii
A0A7S2P452,Rad52/22 double-strand break repair protein,111,Bigelowiella natans
A0A1A8RLL9,RAD52 motif-containing protein 1,172,Nothobranchius rachovii
A0A7X2KXD8,Recombinase,219,Lactococcus lactis subsp. cremoris
A0A4U3AC66,Prophage protein,272,Bacillus mycoides
A0A7L1XNF4,RDM1 protein,160,Thinocorus orbignyianus
A0A838U7D1,DNA repair protein Rad52,196,Blastocatellia bacterium
A0A316W4I2,Rad52/22 double-strand break repair protein,180,Ceraceosorus guamensis
A0A524RKN9,Rad52/22 double-strand break repair protein,269,Aphanocapsa feldmannii 277cV
A0A813AQ34,Single-stranded DNA-binding protein,432,Symbiodinium necroappetens
A0A7K7TL17,RDM1 protein,162,Sapayoa aenigma
A0A7L2I6M2,RDM1 protein,163,Semnornis frantzii
A0A852JLC8,RAD52 protein,292,Spizella passerina
A0A093HCF8,RAD52 motif-containing protein 1,225,Dryobates pubescens
A0A2V7HHN6,Recombinase,240,Gemmatimonadetes bacterium
A0A7W0A5G2,Nterm_IS4 domain-containing protein,92,Chloroflexia bacterium
A0A851FMU0,RRM domain-containing protein,270,Pitta sordida
A0A7K8R8L1,RAD52 motif-containing protein 1,159,Smithornis capensis
A0A7K9AB98,RRM domain-containing protein,271,Grallaria varia
A0A6J1R7B1,Phage protein,455,Temnothorax curvispinosus
A0A7K5B3Q5,RAD52 motif-containing protein 1,271,Furnarius figulus
A0A7K8Z667,RDM1 protein,271,Sakesphorus luctuosus
A0A2M6ZBR7,Rad52/22 double-strand break repair protein,181,Desulfobacterales bacterium CG07_land_8_20_14_0_80_52_14
A0A7L1DGB1,RRM domain-containing protein,270,Serilophus lunatus
A0A7L0JG16,RRM domain-containing protein,248,Piprites chloris
A0A5E4CLW5,RAD52 motif-containing protein 1,203,Marmota monax
A0A371G1T8,"DNA repair RAD52-like protein 1, mitochondrial",168,Mucuna pruriens
A0A5T2Q254,Recombinase,145,Salmonella enterica
A0A852C2V8,RDM1 protein,166,Ramphastos sulfuratus
A0A7L2S0G9,RAD52 motif-containing protein 1,242,Neodrepanis coruscans
A0A7K5P0U3,RRM domain-containing protein,280,Chroicocephalus maculipennis
A0A0F8WP66,DNA repair protein,251,marine sediment metagenome
A0A2N2M6E4,SWIM-type domain-containing protein,226,Chloroflexi bacterium HGW-Chloroflexi-7
A0A7L4N9E7,RRM domain-containing protein,278,Ceyx cyanopectus
A0A7L2HL04,RRM domain-containing protein,274,Sagittarius serpentarius
A0A7X7WAT1,SWIM-type domain-containing protein,355,Thermotogaceae bacterium
A0A7L0ZDS5,RDM1 protein,272,Oxyruncus cristatus
A0A353C6K1,Rad52/22 double-strand break repair protein,172,Blastocatellia bacterium
A0A7L2G371,RRM domain-containing protein,279,Nyctibius grandis
A0A7L4GVN1,RRM domain-containing protein,279,Podargus strigoides
A0A1A8MZB3,"RAD52 homolog, DNA repair protein",314,Nothobranchius pienaari
A0A7L3T320,RRM domain-containing protein,280,Rissa tridactyla
A0A091MZ58,RAD52 motif-containing protein 1,247,Acanthisitta chloris
A0A7K5U2Z2,RRM domain-containing protein,272,Cephalopterus ornatus
A0A7W0SE00,Rad52/22 double-strand break repair protein,193,Blastocatellia bacterium
A0A099YSL2,RRM domain-containing protein,241,Tinamus guttatus
A0A091QSI4,RRM domain-containing protein,264,Mesitornis unicolor
A0A1Y1LUG5,Rad52/22 double-strand break repair protein,154,Photinus pyralis
A0A7L0HQE8,RRM domain-containing protein,281,Arenaria interpres
A0A7L0XAA7,RRM domain-containing protein,272,Tyrannus savana
A0A7L2AN55,RRM domain-containing protein,280,Heliornis fulica
A0A7K4SHY3,RDM1 protein,168,Columbina picui
A0A7L3J6I5,RRM domain-containing protein,281,Thalassarche chlororhynchos
A0A7S2N7L5,RRM domain-containing protein,266,Haptolina brevifila
A0A6G1RBY7,RRM domain-containing protein,282,Hypotaenidia okinawae
A0A7K6YZQ4,RAD52 motif-containing protein 1,279,Alca torda
A0A7L0C3G5,RRM domain-containing protein,281,Spizaetus tyrannus
A0A7K9CCF2,RRM domain-containing protein,280,Psilopogon haemacephalus
A0A7L1SWJ2,RRM domain-containing protein,282,Aramus guarauna
E9PF95,RAD52,131,Homo sapiens
A0A7L2YZZ2,RRM domain-containing protein,280,Jacana jacana
A0A7L0EPU7,RAD52 motif-containing protein 1,281,Trogon melanurus
A0A7L3NXF6,RRM domain-containing protein,273,Oreotrochilus melanogaster
A0A7L4MRP5,RRM domain-containing protein,281,Glareola pratincola
A0A7K6ATA9,RRM domain-containing protein,279,Upupa epops
A0A851A890,RRM domain-containing protein,280,Sula dactylatra
A0A7K8UFQ1,RRM domain-containing protein,280,Oceanites oceanicus
A0A7L0UQH0,RDM1 protein,168,Chordeiles acutipennis
A0A7L2U427,RRM domain-containing protein,281,Balaeniceps rex
A0A3V7DK62,Recombinase,149,Salmonella enterica subsp. enterica serovar Cerro
A0A602YH02,Recombinase,149,Salmonella enterica
A0A7L3PJE9,RDM1,171,Xiphorhynchus elegans
G9KKP5,RAD52 motif-containing protein 1,172,Mustela putorius furo
A0A7K5XSU8,RAD52 motif-containing protein 1,281,Dromas ardeola
A0A7K7L3K5,RRM domain-containing protein,280,Asarcornis scutulata
A0A7K9UNP9,RRM domain-containing protein,280,Anseranas semipalmata
A0A7K5H034,RAD52 motif-containing protein 1,281,Chunga burmeisteri
